(S(NP(NP(DT A)(NN boy))(PP(IN with)(NP(DT a)(NN telescope))))(VP(VBD saw)(NP(DT a)(NN girl))))
0.000658161979834
DT # 0 # 0 # 0.666666666667 # 0.00098724296975
DT # 3 # 3 # 0.666666666667 # 0.00098724296975
DT # 6 # 6 # 0.666666666667 # 0.00098724296975
IN # 2 # 2 # 1.0 # 0.000658161979834
NN # 1 # 1 # 0.333333333333 # 0.0019744859395
NN # 4 # 4 # 0.333333333333 # 0.0019744859395
NN # 7 # 7 # 0.333333333333 # 0.0019744859395
NP # 0 # 1 # 0.190476190476 # 0.00345535039413
NP # 0 # 4 # 0.00518302559119 # 0.126984126984
NP # 3 # 4 # 0.190476190476 # 0.00345535039413
NP # 6 # 7 # 0.190476190476 # 0.00345535039413
PP # 2 # 4 # 0.190476190476 # 0.00345535039413
S # 0 # 7 # 0.000658161979834 # 1.0
S # 3 # 7 # 0.0241874527589 # 0.0
VBD # 5 # 5 # 1.0 # 0.000658161979834
VP # 5 # 7 # 0.126984126984 # 0.00518302559119
